claim,supported,evidence_file,evidence_metric,notes
KL-CMAPPO satisfies all predefined constraints on validation.,true,results/revision/table_validation_main_methods.csv,all_constraints_satisfied_kn,"VAL k/n=5/5; MAE=8.742, recall=0.9944, AoI=1.928; n=5."
KL-CMAPPO satisfies all predefined constraints on frozen temporal test.,false,results/revision/table_test_all_methods.csv,event_ok_kn,Test k/n=0/5. Event constraint fails (recall=0.9529 < 0.985); MAE and AoI pass 5/5. Do not claim frozen-test feasibility.
KL-CMAPPO satisfies all predefined constraints on unseen sensors.,true,results/revision/table_unseen_all_methods.csv,all_constraints_satisfied_kn,"Held-out TEST k/n=5/5; MAE=8.495, recall=0.9964; n=5. Same chronological test window as development TEST."
KL-CMAPPO has lower MAE than the semantic expert.,false,results/revision/table_validation_main_methods.csv,mae_mean,Expert MAE is lower on every comparable split: val KL=8.742 vs expert=7.219; test KL=8.613 vs expert=7.216; heldout KL=8.495 vs expert=7.230.
KL-CMAPPO reduces communication more than the semantic expert.,true,results/revision/table_validation_main_methods.csv,transmission_reduction_mean,Attempt-based TX reduction: val KL=77.79% vs expert=73.89%; test KL=78.23% vs expert=74.46%; heldout KL=77.83% vs expert=74.34%.
"KL-CMAPPO outperforms selected Delta on validation reduction, MAE, and event recall.",true,results/revision/table_validation_main_methods.csv,"transmission_reduction_mean,mae_mean,recall_mean","VAL selected Delta `delta_ppm=25,heartbeat=3`: TX↓ 72.83% MAE 9.224 recall 0.9903 vs KL TX↓ 77.79% MAE 8.742 recall 0.9944. Delta is not VAL-feasible (MAE>9)."
KL-CMAPPO generalizes without large degradation to unseen sensors on the same temporal split.,qualified,results/revision/generalization_same_split.csv,mae (development TEST vs heldout TEST),"Same chronological TEST window. KL MAE 8.613 → 8.495 (Δ=-0.118 ppm); union recall 0.9529 → 0.9964. MAE does not worsen. Qualification: development TEST event recall is already below 0.985, so 'no degradation' is not the same as test feasibility."
The final actor does not use any expert-derived logic during deployment.,false,results/revision/deployment_actor_audit.md,residual_scale * heuristic_logits_torch(obs),A: SemanticExpertPolicy is not called. B: a frozen expert-derived residual prior is still evaluated inside ResidualSharedActor.forward. Do not describe the deployed actor as a pure neural policy.
The contextual relation graph is not a wireless mesh.,true,results/revision/context_feature_audit.md,adjacency used only for server-side neighbor_summary(recon),Edges are spatial/statistical contextual relations. No sensor-to-sensor radio exchange.
Packet-loss communication reduction is computed from attempted transmissions.,true,results/revision/packet_loss_raw.csv,attempt_based_reduction = 1 - n_tx_attempts / n_available,"evaluate_policy counts TRANSMIT decisions, not transmit_history deliveries."
